G2,Ἀαρών
G2791,Κιλικία
G2798,κλάδος
G2804,Κλαύδιος-2
G2807,κλείς
G2823,κλίβανος
G2825,κλίνη
G2835,κοδράντης
G2836,κοιλία
G2839,κοινός-2
G2840,κοινόω
G2841,κοινωνέω
G2842,κοινωνία
G2844,κοινωνός
G2847,κόκκινον
G2848,κόκκος
G2861,κολυμβήθρα
G2878,κορβανᾶς
G2881,Κορίνθιος
G2882,Κόρινθος
G2886,κοσμικός
G2889,κόσμος
G2894,κόφινος
G2895,κράβαττος
G2899,κράσπεδον-2
G2912,Κρής
G2914,Κρήτη
G2917,κρίμα
G2918,κρίνον
G2919,κρίνω-2
G2920,κρίσις-2
G2921,Κρίσπος
G2922,κριτήριον
G2923,κριτής
G2934,κτήνος
G2952,κυνάριον
G2953,Κύπριος
G2954,Κύπρος
G2956,Κυρηναῖος
G2962,κύριος
G2963,κυριότης
G2965,κύων
G2976,Λάζαρος-2
G2985,λαμπάς-2
G2992,λαός
G2993,Λαοδίκεια
G2999,λατρεία
G3000,λατρεύω
G3001,λάχανον
G3003,Λεγιών
G3004,εἶπον
G3008,λειτουργέω
G3009,λειτουργία
G3011,λειτουργός
G3014,λέπρα
G3015,λεπρός
G3016,λεπτόν
G3017,Λευί-4
G3019,Λευίτης
G3023,λέων
G3025,ληνός
G3030,λίβανος
G3043,λίνον-2
G3050,λογικός
G3065,Λουκᾶς
G3066,Λούκιος-2
G3070,Λυδία
G3074,λύκος
G3079,Λυσίας
G3082,Λύστρα
G3083,λύτρον
G3084,λυτρόω
G3085,λύτρωσις
G3087,λυχνία
G3088,λύχνος
G3091,Λώτ
G3094,Μαγδαληνή
G3100,μαθητεύω
G3101,μαθητής
G3106,μακαρίζω
G3107,μακάριος
G3108,μακαρισμός
G3109,Μακεδονία
G3110,Μακεδών
G3128,Μανασσῆ-2
G3136,Μάρθα
G3137,Μαρία-7
G3138,Μᾶρκος
G3140,μαρτυρέω
G3141,μαρτυρία
G3142,μαρτύριον
G3143,μαρτύρομαι
G3144,μάρτυς
G3152,μάταιος
G3153,ματαιότης
G3156,Μαθθαῖος
G3172,μεγαλωσύνη
G3188,μέλας
G3198,Μελχισέδεκ
G3316,μεσίτης
G3318,Μεσοποταμία
G3321,μεσουράνημα
G3323,Μεσσίας
G3338,μεταμέλομαι
G3340,μετανοέω
G3341,μετάνοια
G3348,μετέχω
G3353,μέτοχος
G3392,μιαίνω
G3399,Μίλητος
G3411,μισθωτός
G3413,Μιχαήλ
G3418,μνῆμα
G3419,μνημεῖον
G3423,μνηστεύω
G3426,μόδιος
G3428,μοιχαλίς-1
G3429,μοιχάομαι
G3430,μοιχεία
G3431,μοιχεύω
G3432,μοιχός
G3435,μολύνω
G3448,μόσχος
G3458,μύλος-2
G3464,μύρον
G3475,Μωϋσῆς
G3476,Ναασσών
G3478,Ναζαρά
G3479,Ναζαρηνός
G3480,Ναζωραῖος
G3482,Ναθαναήλ
G3485,ναός-2
G3487,νάρδος
G3508,Νεφθαλίμ-2
G3521,νηστεία
G3522,νηστεύω
G3530,Νικόδημος
G3536,Νινευίτης
G3544,νομικός
G3545,νομίμως
G3547,νομοδιδάσκαλος
G3549,νομοθετέω
G3551,νόμος
G3567,νυμφών
G3575,Νῶε
G3578,ξενία
G3585,ξύλινος
