weight_kg,zone_1_eur,zone_2_eur,zone_3_eur,zone_4_eur,zone_5_eur,zone_6_eur,zone_7_eur,zone_8_eur,zone_9_eur,zone_10_eur,zone_11_eur
121.5,462.67,727.25,999.85,941.73,1124.44,1156.98,1389.47,1837.47,2464.22,3123.64,3398.1
122.0,462.67,727.25,999.85,941.73,1124.44,1156.98,1389.47,1837.47,2464.22,3123.64,3398.1
122.5,467.19,734.51,1009.94,950.99,1135.26,1167.97,1402.67,1855.82,2488.35,3152.66,3428.41
123.0,467.19,734.51,1009.94,950.99,1135.26,1167.97,1402.67,1855.82,2488.35,3152.66,3428.41
123.5,471.71,741.77,1020.03,960.25,1146.08,1178.96,1415.87,1874.17,2512.48,3181.68,3458.72
124.0,471.71,741.77,1020.03,960.25,1146.08,1178.96,1415.87,1874.17,2512.48,3181.68,3458.72
124.5,476.23,749.03,1030.12,969.51,1156.9,1189.95,1429.07,1892.52,2536.61,3210.7,3489.03
125.0,476.23,749.03,1030.12,969.51,1156.9,1189.95,1429.07,1892.52,2536.61,3210.7,3489.03
125.5,480.75,756.29,1040.21,978.77,1167.72,1200.94,1442.27,1910.87,2560.74,3239.72,3519.34
126.0,480.75,756.29,1040.21,978.77,1167.72,1200.94,1442.27,1910.87,2560.74,3239.72,3519.34
126.5,485.27,763.55,1050.3,988.03,1178.54,1211.93,1455.47,1929.22,2584.87,3268.74,3549.65
127.0,485.27,763.55,1050.3,988.03,1178.54,1211.93,1455.47,1929.22,2584.87,3268.74,3549.65
127.5,489.79,770.81,1060.39,997.29,1189.36,1222.92,1468.67,1947.57,2609.0,3297.76,3579.96
128.0,489.79,770.81,1060.39,997.29,1189.36,1222.92,1468.67,1947.57,2609.0,3297.76,3579.96
128.5,494.31,778.07,1070.48,1006.55,1200.18,1233.91,1481.87,1965.92,2633.13,3326.78,3610.27
129.0,494.31,778.07,1070.48,1006.55,1200.18,1233.91,1481.87,1965.92,2633.13,3326.78,3610.27
129.5,498.83,785.33,1080.57,1015.81,1211.0,1244.9,1495.07,1984.27,2657.26,3355.8,3640.58
130.0,498.83,785.33,1080.57,1015.81,1211.0,1244.9,1495.07,1984.27,2657.26,3355.8,3640.58
130.5,503.35,792.59,1090.66,1025.07,1221.82,1255.89,1508.27,2002.62,2681.39,3384.82,3670.89
131.0,503.35,792.59,1090.66,1025.07,1221.82,1255.89,1508.27,2002.62,2681.39,3384.82,3670.89
131.5,507.87,799.85,1100.75,1034.33,1232.64,1266.88,1521.47,2020.97,2705.52,3413.84,3701.2
132.0,507.87,799.85,1100.75,1034.33,1232.64,1266.88,1521.47,2020.97,2705.52,3413.84,3701.2
132.5,512.39,807.11,1110.84,1043.59,1243.46,1277.87,1534.67,2039.32,2729.65,3442.86,3731.51
