weight_lb,shipment_type,zone_A,zone_B,zone_C,zone_D,zone_E,zone_F,zone_G,zone_H,zone_I,zone_J,zone_K,zone_L,zone_M,zone_N
68.0,nondoc_or_doc_5lb_plus,649.14,751.73,1227.68,1339.72,2381.4,1235.56,1532.64,1203.07,1706.19,2611.41,1047.9,2318.36,1683.15,2673.9
69.0,nondoc_or_doc_5lb_plus,654.27,758.07,1242.28,1356.66,2410.6,1250.87,1552.76,1218.59,1727.7,2647.61,1063.56,2343.35,1703.95,2706.38
70.0,nondoc_or_doc_5lb_plus,659.4,764.41,1256.88,1373.6,2439.8,1266.18,1572.88,1234.11,1749.21,2683.81,1079.22,2368.34,1724.75,2738.86
71.0,nondoc_or_doc_5lb_plus,664.77,770.41,1271.96,1390.79,2471.0,1280.91,1589.2,1247.39,1769.52,2711.67,1095.33,2389.26,1745.61,2769.38
72.0,nondoc_or_doc_5lb_plus,670.14,776.41,1287.04,1407.98,2502.2,1295.64,1605.52,1260.67,1789.83,2739.53,1111.44,2410.18,1766.47,2799.9
73.0,nondoc_or_doc_5lb_plus,675.51,782.41,1302.12,1425.17,2533.4,1310.37,1621.84,1273.95,1810.14,2767.39,1127.55,2431.1,1787.33,2830.42
74.0,nondoc_or_doc_5lb_plus,680.88,788.41,1317.2,1442.36,2564.6,1325.1,1638.16,1287.23,1830.45,2795.25,1143.66,2452.02,1808.19,2860.94
75.0,nondoc_or_doc_5lb_plus,686.25,794.41,1332.28,1459.55,2595.8,1339.83,1654.48,1300.51,1850.76,2823.11,1159.77,2472.94,1829.05,2891.46
76.0,nondoc_or_doc_5lb_plus,691.62,800.41,1347.36,1476.74,2627.0,1354.56,1670.8,1313.79,1871.07,2850.97,1175.88,2493.86,1849.91,2921.98
77.0,nondoc_or_doc_5lb_plus,696.99,806.41,1362.44,1493.93,2658.2,1369.29,1687.12,1327.07,1891.38,2878.83,1191.99,2514.78,1870.77,2952.5
78.0,nondoc_or_doc_5lb_plus,702.36,812.41,1377.52,1511.12,2689.4,1384.02,1703.44,1340.35,1911.69,2906.69,1208.1,2535.7,1891.63,2983.02
